code,internal_label,n,mean_doy,doy_rank,elevation,moisture
MD01,S24.b,9,85.04329766167535,1,montane,dry
MD02,S24.a,18,88.3096440633138,2,montane,dry
MD03,S25,21,97.45130193801154,3,montane,dry
MD04,S04.b.e,22,100.18598105690695,4,montane,dry
MD05,S18,30,101.7091542561849,5,montane,dry
MD06,S17,7,102.19395555768695,6,montane,dry
MM07,S26,7,104.18187931605748,7,montane,mesic
MD08,S01.a.e,19,109.57098147743626,8,montane,dry
MD09,S19.e,11,109.79370394620028,9,montane,dry
MM10,S02.a.e,19,113.61876758776214,10,montane,mesic
MD11,M04,16,118.74708127975464,11,montane,dry
MM12,S10.b,9,119.08602311876085,12,montane,mesic
MD13,M03,34,119.41715195599724,13,montane,dry
MD14,S01.b,12,120.99501927693684,14,montane,dry
MD15,S04.a,13,124.72013620229868,15,montane,dry
MM16,S02.b,9,125.0694580078125,16,montane,mesic
MD17,S05.a,24,126.13806215922038,17,montane,dry
MD18,S22,17,126.1892157161937,18,montane,dry
MM19,S11,30,126.35915756225586,19,montane,mesic
MM20,S10.a,26,128.2688601567195,20,montane,mesic
MD21,S04.b.l,21,130.97520228794642,21,montane,dry
MD22,S19.l,14,131.7524027143206,22,montane,dry
MD23,S01.a.l,31,132.6216553718813,23,montane,dry
MD24,S20,16,133.67973041534424,24,montane,dry
MM25,S10.c,10,136.66498107910155,25,montane,mesic
MM26,S02.a.l,28,138.55159977504186,26,montane,mesic
SM27,Osmorhiza occidentalis,8,140.2346534729004,27,subalpine,mesic
SM28,S06.b,83,143.21037623393966,28,subalpine,mesic
SW29,Veratrum tenuipetalum,19,144.13206401624177,29,subalpine,wet
SM30,S23,18,144.4867926703559,30,subalpine,mesic
SW31,Ligusticum porteri,15,144.9791493733724,31,subalpine,wet
SW32,S15,16,146.9382405281067,32,subalpine,wet
SM33,S08.a.e,14,148.16827283586775,33,subalpine,mesic
SM34,S09.a,19,148.69068266216078,34,subalpine,mesic
SM35,M02,49,149.6758687544842,35,subalpine,mesic
SW36,S03,22,150.97071769020775,36,subalpine,wet
SW37,Corydalis caseana,5,156.65664978027343,37,subalpine,wet
SM38,S13.b,8,159.33859634399414,38,subalpine,mesic
SW39,Caltha leptosepala,7,159.8018515450614,39,subalpine,wet
SM40,M01,35,163.4981654575893,40,subalpine,mesic
SM41,S21,14,165.87781742640905,41,subalpine,mesic
SD42,S12,20,167.51459121704102,42,subalpine,dry
AW43,S14,15,168.79551900227864,43,alpine,wet
AW44,S07,26,170.197506244366,44,alpine,wet
SM45,S08.a.l,16,172.23266124725342,45,subalpine,mesic
