final_label,internal_label,rank,taxon,mean_cover_pct,freq_pct,mean_cover_when_present_pct,n_plots
AW43,S14,1,Calamagrostis stricta,6.67,6.67,100,1
AW43,S14,2,Deschampsia cespitosa,6.33,26.67,23.75,4
AW43,S14,3,Bistorta bistortoides,6,33.33,18,5
AW43,S14,4,Juncus arcticus,5.33,13.33,40,2
AW43,S14,5,Juncus parryi,4,13.33,30,2
AW43,S14,6,Juncus spp,4,6.67,60,1
AW43,S14,7,Festuca thurberi,3.67,6.67,55,1
AW43,S14,8,Caltha leptosepala,3.33,20,16.67,3
AW43,S14,9,Aconitum columbianum,1.67,6.67,25,1
AW43,S14,10,Anemone multifida,1.67,6.67,25,1
AW43,S14,11,Carex aquatilis,1.33,6.67,20,1
AW43,S14,12,Juncus cf. drummondii,1.33,6.67,20,1
AW43,S14,13,Erigeron glacialis,1.33,13.33,10,2
AW43,S14,14,Salix spp,1.33,13.33,10,2
AW43,S14,15,Carex spp,1.33,6.67,20,1
AW43,S14,16,Erigeron,1.33,6.67,20,1
AW43,S14,17,Acomastylis rossii,1,6.67,15,1
AW43,S14,18,Sibbaldia procumbens,1,6.67,15,1
AW43,S14,19,Lewisia pygmaea,0.67,6.67,10,1
AW43,S14,20,Arnica mollis,0.67,6.67,10,1
AW43,S14,21,Erythronium grandiflorum,0.67,6.67,10,1
AW44,S07,1,Caltha leptosepala,14.04,38.46,36.5,10
AW44,S07,2,Tolmachevia integrifolia,12.31,23.08,53.33,6
AW44,S07,3,Senecio triangularis,8.85,19.23,46,5
AW44,S07,4,Veratrum tenuipetalum,8.08,15.38,52.5,4
AW44,S07,5,Acomastylis rossii,7.12,15.38,46.25,4
AW44,S07,6,Mertensia ciliata,6.54,26.92,24.29,7
AW44,S07,7,Ligusticum porteri,4.81,26.92,17.86,7
AW44,S07,8,Mertensia lanceolata,3.46,7.69,45,2
AW44,S07,9,Thalictrum fendleri,1.92,3.85,50,1
AW44,S07,10,Clementsia rhodantha,1.92,7.69,25,2
AW44,S07,11,Deschampsia cespitosa,1.73,11.54,15,3
AW44,S07,12,Sibbaldia procumbens,1.73,3.85,45,1
AW44,S07,13,Arnica parryi,1.54,11.54,13.33,3
AW44,S07,14,Valeriana edulis,1.35,7.69,17.5,2
AW44,S07,15,Dugaldia hoopesii,1.15,7.69,15,2
AW44,S07,16,Anemonastrum narcissiflorum ssp. Zephyrum,0.96,3.85,25,1
AW44,S07,17,Heracleum maximum,0.77,3.85,20,1
AW44,S07,18,Aconitum columbianum,0.77,7.69,10,2
AW44,S07,19,Frasera speciosa,0.58,3.85,15,1
AW44,S07,20,Lupinus argenteus,0.58,3.85,15,1
AW44,S07,21,Solidago spp,0.58,3.85,15,1
AW44,S07,22,Senecio crassulus,0.38,3.85,10,1
AW44,S07,23,Arnica mollis,0.38,3.85,10,1
AW44,S07,24,Rumex densiflorus,0.38,3.85,10,1
AW44,S07,25,Rhodiola integrifolia,0.38,3.85,10,1
MD01,S24.b,1,Artemisia tridentata,33.89,100,33.89,9
MD01,S24.b,2,Populus tremuloides,5.56,22.22,25,2
MD01,S24.b,3,Poa secunda,2.22,22.22,10,2
MD01,S24.b,4,Carex,1.67,11.11,15,1
MD01,S24.b,5,Chrysothamnus depressus,1.67,11.11,15,1
MD01,S24.b,6,Purshia tridentata,1.11,11.11,10,1
MD02,S24.a,1,Purshia tridentata,9.44,22.22,42.5,4
MD02,S24.a,2,Chrysothamnus viscidiflorus,4.17,16.67,25,3
MD02,S24.a,3,Symphoricarpos rotundifolius,3.89,5.56,70,1
MD02,S24.a,4,Phlox multiflora,3.89,27.78,14,5
MD02,S24.a,5,Chrysothamnus depressus,3.89,22.22,17.5,4
MD02,S24.a,6,Opuntia polyacantha,3.06,11.11,27.5,2
MD02,S24.a,7,Yucca glauca,1.94,5.56,35,1
MD02,S24.a,8,Poa secunda,1.94,16.67,11.67,3
MD02,S24.a,9,Achnatherium hymenoides,0.56,5.56,10,1
MD02,S24.a,10,Artemisia frigida,0.56,5.56,10,1
MD02,S24.a,11,Heterotheca villosa,0.56,5.56,10,1
MD03,S25,1,Artemisia tridentata,10.24,28.57,35.83,6
MD03,S25,2,Purshia tridentata,6.43,19.05,33.75,4
MD03,S25,3,Phlox multiflora,3.33,19.05,17.5,4
MD03,S25,4,Ribes cereum,3.33,4.76,70,1
MD03,S25,5,Tetradymia canescens,2.62,9.52,27.5,2
MD03,S25,6,Arctostaphylos uva-ursi,2.38,4.76,50,1
MD03,S25,7,Balsamorhiza sagittata,2.14,9.52,22.5,2
MD03,S25,8,Chrysothamnus depressus,2.14,9.52,22.5,2
