final_label,n,n_2018,n_2023,n_2025,n_2026,doy,recall,needs_ancillary,indicator_species,top_cover
AW43,15,5,3,4,3,169,0.4,FALSE,Festuca_thurberi,Calamagrostis stricta 7 / Deschampsia cespitosa 6 / Bistorta bistortoides 6
AW44,26,20,5,1,0,170,0.73,FALSE,Ligusticum_porteri,Caltha leptosepala 14 / Tolmachevia integrifolia 12 / Senecio triangularis 9
MD01,9,0,0,0,9,85,0.33,FALSE,Artemisia_tridentata,Artemisia tridentata 34 / Populus tremuloides 6 / Poa secunda 2
MD02,18,0,0,0,18,88,0.67,FALSE,Artemisia_tridentata,Purshia tridentata 9 / Chrysothamnus viscidiflorus 4 / Chrysothamnus depressus 4
MD03,21,0,1,1,19,97,0.9,FALSE,Artemisia_tridentata,Artemisia tridentata 10 / Purshia tridentata 6 / Phlox multiflora 3
MD04,22,0,0,22,0,100,0.86,TRUE,Erigeron_speciosus,Arctostaphylos uva-ursi 10 / Purshia tridentata 9 / Balsamorhiza sagittata 6
MD05,30,0,2,21,7,102,0.9,FALSE,Artemisia_tridentata,Artemisia tridentata 8 / Chrysothamnus viscidiflorus 5 / Purshia tridentata 4
MD06,7,0,0,6,1,102,0.71,FALSE,Artemisia_tridentata,Chrysothamnus depressus 9 / Balsamorhiza sagittata 8 / Wyethia amplexicaulis 6
MD08,19,0,13,4,2,110,0.42,TRUE,Erigeron_speciosus,Symphoricarpos rotundifolius 12 / Amelanchier alnifolia 7 / Chrysothamnus viscidiflorus 5
MD09,11,0,0,9,2,110,1,FALSE,Artemisia_tridentata,Symphoricarpos rotundifolius 10 / Artemisia tridentata 7 / Dasiphora fruticosa 5
MD11,16,0,14,2,0,119,0.25,FALSE,Lupinus_argenteus,Lupinus argenteus 32 / Symphoricarpos rotundifolius 6 / Erigeron speciosus 6
MD13,34,2,10,12,10,119,0.53,FALSE,Artemisia_tridentata,Artemisia tridentata 31 / Festuca thurberi 12 / Chrysothamnus viscidiflorus 3
MD14,12,0,9,1,2,121,0.08,TRUE,Eriogonum_umbellatum,Eriogonum umbellatum 28 / Wyethia amplexicaulis 4 / Artemisia tridentata 4
