site_number,Year,class_type,final_label,snow_free_doy,canopy_height_m
182,2018,meadow,Caltha leptosepala,137.4877166748047,0
259,2018,meadow,Caltha leptosepala,177.35841369628906,0
377,2018,meadow,Caltha leptosepala,176.73690795898438,0
1184,2025,meadow,Caltha leptosepala,138.3237762451172,0
1190,2025,meadow,Caltha leptosepala,138.0947265625,0
238,2018,meadow,Corydalis caseana,145.64161682128906,0.2549999952316284
244,2018,meadow,Corydalis caseana,142.4615936279297,0
247,2018,meadow,Corydalis caseana,149.55401611328125,0.257999986410141
285,2018,meadow,Corydalis caseana,173.30059814453125,0.19599999487400055
287,2018,meadow,Corydalis caseana,172.32542419433594,0.8059999942779541
17,2018,meadow,Ligusticum porteri,132.8850555419922,3.7730000019073486
71,2018,meadow,Ligusticum porteri,143.31321716308594,0
72,2018,meadow,Ligusticum porteri,143.71298217773438,0.25
83,2018,meadow,Ligusticum porteri,142.3209991455078,0
151,2018,meadow,Ligusticum porteri,141.7646942138672,0
208,2018,meadow,Ligusticum porteri,151.80636596679688,0
224,2018,meadow,Ligusticum porteri,148.87937927246094,0.0689999982714653
241,2018,meadow,Ligusticum porteri,146.15943908691406,0.8180000185966492
345,2018,meadow,Ligusticum porteri,143.5042266845703,0
406,2018,meadow,Ligusticum porteri,158.10308837890625,0
1159,2025,meadow,Ligusticum porteri,140.18099975585938,0
1191,2025,meadow,Ligusticum porteri,162.69566345214844,0
53,2018,meadow,Osmorhiza occidentalis,132.40261840820312,0
171,2018,meadow,Osmorhiza occidentalis,136.04603576660156,0
176,2018,meadow,Osmorhiza occidentalis,136.7324981689453,0
228,2018,meadow,Osmorhiza occidentalis,152.65933227539062,0.16899999976158142
340,2018,meadow,Osmorhiza occidentalis,143.30477905273438,0
1,2018,meadow,S01,139.19325256347656,0
2,2018,meadow,S01,139.19325256347656,0
3,2018,meadow,S01,139.19325256347656,0
4,2018,meadow,S01,138.75680541992188,0
5,2018,meadow,S01,138.75680541992188,0
10,2018,meadow,S01,130.14083862304688,0
12,2018,meadow,S01,130.08863830566406,0
13,2018,meadow,S01,131.1077880859375,0
14,2018,meadow,S01,130.77610778808594,0
15,2018,meadow,S01,131.1077880859375,0
16,2018,meadow,S01,132.8850555419922,0.5559999942779541
18,2018,meadow,S01,134.14840698242188,0.16699999570846558
19,2018,meadow,S01,132.8850555419922,0
45,2018,meadow,S01,132.4265899658203,0
47,2018,meadow,S01,132.4265899658203,0
48,2018,meadow,S01,133.0330810546875,0
50,2018,meadow,S01,133.0330810546875,0
51,2018,meadow,S01,134.4921417236328,0
52,2018,meadow,S01,132.4265899658203,0
70,2018,meadow,S01,143.6912384033203,0
164,2018,meadow,S01,134.39999389648438,0
341,2018,meadow,S01,142.4364471435547,0
347,2018,meadow,S01,145.2064666748047,1.0920000076293945
1072,2025,meadow,S01,121.6103286743164,0
1075,2025,meadow,S01,117.59930419921876,0
1076,2025,meadow,S01,117.59930419921876,0
1078,2025,meadow,S01,117.59930419921876,0
1079,2025,meadow,S01,128.3335723876953,0
1080,2025,meadow,S01,127.88493347167967,0
1082,2025,meadow,S01,130.45437622070312,0
1083,2025,meadow,S01,124.62137603759766,0
1084,2025,meadow,S01,124.62137603759766,0
1087,2025,meadow,S01,126.41812133789062,0
1090,2025,meadow,S01,119.87708282470705,0
1097,2025,meadow,S01,109.03271484375,0.2280000001192093
1099,2025,meadow,S01,118.26663970947266,1.3849999904632568
1100,2025,meadow,S01,118.26663970947266,0
1101,2025,meadow,S01,117.24577331542967,0
1102,2025,meadow,S01,108.88594818115234,0
1103,2025,meadow,S01,114.02201080322266,0
1104,2025,meadow,S01,114.02201080322266,0.5659999847412109
1122,2025,meadow,S01,136.62716674804688,0
1123,2025,meadow,S01,133.44361877441406,0
1124,2025,meadow,S01,134.4949493408203,0
1125,2025,meadow,S01,133.44361877441406,0
1126,2025,meadow,S01,133.8800811767578,0
1127,2025,meadow,S01,134.4949493408203,0
1128,2025,meadow,S01,134.4481658935547,0
1148,2025,meadow,S01,143.1345672607422,0.24699999392032623
1172,2025,meadow,S01,135.6165771484375,0
1174,2025,meadow,S01,138.9250030517578,0
1175,2025,meadow,S01,138.43804931640625,0
1176,2025,meadow,S01,138.43804931640625,0
1177,2025,meadow,S01,138.33631896972656,0
1182,2025,meadow,S01,137.7994842529297,0
1183,2025,meadow,S01,138.6342315673828,0
1312,2025,meadow,S01,129.52769470214844,5.1579999923706055
6,2018,meadow,S02,141.5609130859375,0
170,2018,meadow,S02,136.04603576660156,0
1178,2025,meadow,S02,138.33631896972656,0
1179,2025,meadow,S02,139.12042236328125,0
1243,2025,meadow,S02,138.9189910888672,1.4110000133514404
1277,2025,meadow,S02,157.0463104248047,0
1280,2025,meadow,S02,162.76498413085938,0
1281,2025,meadow,S02,162.76498413085938,0
1283,2025,meadow,S02,158.6871795654297,3.8450000286102295
1294,2025,meadow,S02,127.72399139404295,0
1296,2025,meadow,S02,129.40895080566406,0
1319,2025,meadow,S02,128.4312744140625,2.003999948501587
1322,2025,meadow,S02,138.42234802246094,0
1323,2025,meadow,S02,143.11306762695312,0
1344,2025,meadow,S02,137.79563903808594,0
1345,2025,meadow,S02,135.16378784179688,0
1349,2025,meadow,S02,139.15219116210938,0
1350,2025,meadow,S02,139.15219116210938,0.765999972820282
1351,2025,meadow,S02,139.15219116210938,0
1352,2025,meadow,S02,134.0074462890625,0
1353,2025,meadow,S02,135.16378784179688,2.763000011444092
7,2018,meadow,S03,139.0009002685547,0
8,2018,meadow,S03,141.5609130859375,0
66,2018,meadow,S03,143.6912384033203,0
67,2018,meadow,S03,143.6405029296875,0
68,2018,meadow,S03,143.6912384033203,0
69,2018,meadow,S03,143.6912384033203,0
80,2018,meadow,S03,141.1375732421875,0
174,2018,meadow,S03,132.96006774902344,0
200,2018,meadow,S03,154.44668579101562,0
214,2018,meadow,S03,143.4599609375,0
267,2018,meadow,S03,170.75340270996094,0
270,2018,meadow,S03,173.32408142089844,0
338,2018,meadow,S03,142.76145935058594,0
1131,2025,meadow,S03,144.0401611328125,0
1132,2025,meadow,S03,143.76571655273438,0
1133,2025,meadow,S03,141.45835876464844,0
1137,2025,meadow,S03,141.1984405517578,0
1138,2025,meadow,S03,143.06324768066406,0
1139,2025,meadow,S03,143.06324768066406,0
1140,2025,meadow,S03,144.5159454345703,0.1420000046491623
1141,2025,meadow,S03,142.69723510742188,0
1143,2025,meadow,S03,142.89349365234375,0
1145,2025,meadow,S03,144.520263671875,0
1147,2025,meadow,S03,143.6912384033203,0
1173,2025,meadow,S03,136.17835998535156,0
1192,2025,meadow,S03,163.1268310546875,0
1197,2025,meadow,S03,164.3284149169922,0
1209,2025,meadow,S03,164.85110473632812,0
1214,2025,meadow,S03,177.10922241210938,0
1217,2025,meadow,S03,179.19503784179688,0
1221,2025,meadow,S03,175.6478271484375,0
1232,2025,meadow,S03,139.2755889892578,0
146,2018,meadow,S04,140.73130798339844,0
147,2018,meadow,S04,141.54869079589844,0
158,2018,meadow,S04,146.69264221191406,0.16899999976158142
163,2018,meadow,S04,148.64144897460938,4.855000019073486
168,2018,meadow,S04,136.90426635742188,0
169,2018,meadow,S04,136.04603576660156,0
236,2018,meadow,S04,142.4615936279297,0
237,2018,meadow,S04,145.64161682128906,0.14000000059604645
410,2018,meadow,S04,156.72879028320312,0
1165,2025,meadow,S04,144.1228790283203,0.21699999272823334
1166,2025,meadow,S04,144.1228790283203,0.17499999701976776
1203,2025,meadow,S04,161.05665588378906,0
1204,2025,meadow,S04,162.69566345214844,0
1242,2025,meadow,S04,137.7532501220703,0
1245,2025,meadow,S04,169.1578826904297,0
1246,2025,meadow,S04,169.1578826904297,0
1247,2025,meadow,S04,169.1578826904297,0
1248,2025,meadow,S04,169.1578826904297,0
1249,2025,meadow,S04,169.1578826904297,0
11,2018,meadow,S05,130.08863830566406,0
1056,2025,meadow,S05,101.31792449951172,0
1062,2025,meadow,S05,98.959259033203125,0
1064,2025,meadow,S05,88.19129943847656,0
1070,2025,meadow,S05,95.48423767089844,0
2009,2026,meadow,S05,90.3279800415039,0
2017,2026,meadow,S05,87.83539581298828,0
2020,2026,meadow,S05,96.4417724609375,0
2022,2026,meadow,S05,85.28704833984375,0
2023,2026,meadow,S05,94.45043182373048,0
2030,2026,meadow,S05,96.67652130126952,0.41200000047683716
2035,2026,meadow,S05,85.91053771972656,0
2036,2026,meadow,S05,87.933441162109375,0
2049,2026,meadow,S05,102.14083862304688,0
54,2018,meadow,S06.a,132.40261840820312,0
73,2018,meadow,S06.a,143.31321716308594,0.125
78,2018,meadow,S06.a,142.6956024169922,0
160,2018,meadow,S06.a,146.69264221191406,0
161,2018,meadow,S06.a,146.69264221191406,0
162,2018,meadow,S06.a,146.94227600097656,0
204,2018,meadow,S06.a,150.1039581298828,0
206,2018,meadow,S06.a,149.15902709960938,0
408,2018,meadow,S06.a,157.3649139404297,0
1136,2025,meadow,S06.a,141.1984405517578,0
1164,2025,meadow,S06.a,142.63119506835938,0.37299999594688416
1167,2025,meadow,S06.a,143.01913452148438,0.5049999952316284
1240,2025,meadow,S06.a,138.8246307373047,0.22200000286102295
76,2018,meadow,S06.b,143.41139221191406,0.061000000685453415
81,2018,meadow,S06.b,142.3209991455078,0.1340000033378601
165,2018,meadow,S06.b,134.39999389648438,0
1134,2025,meadow,S06.b,141.45835876464844,0.28600001335144043
1135,2025,meadow,S06.b,140.2123260498047,0
1142,2025,meadow,S06.b,143.00616455078125,0
1154,2025,meadow,S06.b,138.0879669189453,0
1155,2025,meadow,S06.b,140.18099975585938,0
1163,2025,meadow,S06.b,142.63119506835938,0.18000000715255737
1171,2025,meadow,S06.b,135.0428924560547,0
1241,2025,meadow,S06.b,137.7532501220703,0.8500000238418579
1244,2025,meadow,S06.b,138.9189910888672,0
205,2018,meadow,S07,150.1039581298828,0
262,2018,meadow,S07,171.09628295898438,0
263,2018,meadow,S07,173.75096130371094,0
264,2018,meadow,S07,173.75096130371094,0
265,2018,meadow,S07,172.64076232910156,0
266,2018,meadow,S07,170.75340270996094,0
269,2018,meadow,S07,172.3287811279297,0
272,2018,meadow,S07,173.70765686035156,0
273,2018,meadow,S07,171.5906524658203,0
274,2018,meadow,S07,171.5906524658203,0
276,2018,meadow,S07,172.86546325683594,0
277,2018,meadow,S07,172.79547119140625,0
382,2018,meadow,S07,175.71685791015625,0
1224,2025,meadow,S07,172.06008911132812,0
74,2018,meadow,S08.a,143.41139221191406,0.10400000214576721
75,2018,meadow,S08.a,142.6956024169922,0.335999995470047
