a,b,short_a,short_b,n_a,n_b,dist,ratio,same_top1,same_parent,doy_a,doy_b,top1_a,top1_b
S06.c,S08.c,Late-melt bilberry heath,Alpine bilberry-fleabane heath,13,8,0.03808210506332488,0.2796887050942776,TRUE,FALSE,162.56597900390625,169.02506828308103,"Vaccinium (cespitosum, scoparium) Dwarf-shrubland","Vaccinium (cespitosum, scoparium) Dwarf-shrubland"
S08.b,S09.b,Osha-hairgrass meadow,Osha tall-forb facies,15,8,0.09309900246560089,0.36706692616486425,TRUE,FALSE,158.53351949055988,149.44395446777344,Ligusticum porteri - Vicia americana Meadow,Ligusticum porteri - Vicia americana Meadow
S06.a,S08.b,Osha tall-forb meadow,Osha-hairgrass meadow,25,15,0.21985028504479062,0.6311110993956178,TRUE,FALSE,144.64623901367187,158.53351949055988,Ligusticum porteri - Vicia americana Meadow,Ligusticum porteri - Vicia americana Meadow
S06.c,S13.a,Late-melt bilberry heath,Dense bilberry heath,13,13,0.0846415255516521,0.6611477094730308,TRUE,FALSE,162.56597900390625,161.3558091383714,"Vaccinium (cespitosum, scoparium) Dwarf-shrubland","Vaccinium (cespitosum, scoparium) Dwarf-shrubland"
S06.a,S09.b,Osha tall-forb meadow,Osha tall-forb facies,25,8,0.23086937912985775,0.6685504119068553,TRUE,FALSE,144.64623901367187,149.44395446777344,Ligusticum porteri - Vicia americana Meadow,Ligusticum porteri - Vicia americana Meadow
S08.c,S13.a,Alpine bilberry-fleabane heath,Dense bilberry heath,8,13,0.0981072408758814,0.8297794213669436,TRUE,FALSE,169.02506828308103,161.3558091383714,"Vaccinium (cespitosum, scoparium) Dwarf-shrubland","Vaccinium (cespitosum, scoparium) Dwarf-shrubland"
S04.c,S05.b,Dense sagebrush-fescue,Sagebrush-fescue steppe,17,17,0.3566151878057165,0.8926329143187692,TRUE,FALSE,117.84649927475871,120.98780463723575,Artemisia tridentata ssp. vaseyana / Festuca thurberi Shrubland,Artemisia tridentata ssp. vaseyana / Festuca thurberi Shrubland
S01.c,S02.c,Lupine forb meadow,Lupine-rabbitbrush meadow,8,8,0.32136798217692963,0.8999539391136635,TRUE,FALSE,114.61535453796388,122.8788080215454,Elymus lanceolatus - Lupinus argenteus Grassland,Elymus lanceolatus - Lupinus argenteus Grassland
S02.a,S05.b,Montane forb-grass meadow,Sagebrush-fescue steppe,47,17,0.42168504054938244,1.0080640090727304,TRUE,FALSE,128.4723697418862,120.98780463723575,Artemisia tridentata ssp. vaseyana / Festuca thurberi Shrubland,Artemisia tridentata ssp. vaseyana / Festuca thurberi Shrubland
S22,S24.b,Senescent sagebrush park,Dense sagebrush-aspen edge,17,9,0.2737666817650268,1.0877748277163892,TRUE,FALSE,126.1892157161937,85.04329766167535,Artemisia tridentata ssp. wyomingensis - Artemisia tridentata ssp. tridentata Desert Shrubland Group,Artemisia tridentata ssp. wyomingensis - Artemisia tridentata ssp. tridentata Desert Shrubland Group
