nearest_class,n_assigned,n_ood,median_d,median_margin,pct_ood
S24.b,561,561,17.358559889524862,0.23176303643269236,100
S10,665,545,8.704856525899897,0.2365057320271582,81.95488721804512
S12,479,479,16.14579806611091,0.3885042301497599,100
S06,393,381,11.201990681735795,0.112310345088936,96.94656488549619
S08,292,292,13.593662862197522,0.20137084810464412,100
S13,245,245,14.07135784946739,0.2636190717556133,100
S05.b,215,215,13.548602395107617,0.30742555939886174,100
S14,214,214,15.716422280445954,0.3173730235425536,100
S02,212,210,11.795880673497685,0.1340852138669737,99.05660377358491
S09.b,339,201,7.583423403337395,0.16773234703869733,59.29203539823009
S22,181,181,18.367332213422234,0.5190381805032871,100
S21,168,168,25.91914299125271,2.5845323367815976,100
S18,142,142,15.13455865218447,0.1790680908829838,100
S24.a,104,104,18.6971836153039,0.09532089106511954,100
S25,98,98,16.28051012774686,0.1697286261970472,100
S01,76,75,12.310812712191495,0.06798092675460143,98.6842105263158
S11,74,60,8.376153972027254,0.3923080802390855,81.08108108108108
S09.a,100,53,7.199187002362418,0.10806928213308353,53
S07,53,51,11.740346556058523,0.1199324032484661,96.22641509433963
S16,50,50,166.9142394734523,1.5844918061566062,100
S20,47,47,19.64215208332752,0.4236466151719789,100
Sambucus racemosa,46,45,11.041898122603712,0.11102461078076953,97.82608695652173
Osmorhiza occidentalis,74,36,6.997174949796806,0.11626094916683405,48.648648648648646
S23,21,21,16.39562503721966,0.5645766657571336,100
S04,19,19,12.342898580923135,0.0787974544196075,100
S26,17,16,9.903500316163091,0.3277727039077547,94.11764705882354
Salix wolfii,14,14,10.648568124492979,0.16467898035165263,100
Betula glandulosa,13,13,9.767846562072988,0.1991730827576106,100
Veratrum tenuipetalum,29,13,6.799290152439686,0.34352972236959367,44.827586206896555
S05.a,10,10,11.899240071186547,0.046962351562616966,100
Juniperus sp.,9,9,12.827112222162695,0.3043777981838911,100
S19,9,8,10.68656891681022,0.07785626794983891,88.88888888888889
S17,7,7,20.81996359766495,0.6637974644146922,100
Salix planifolia,7,7,13.654609890353239,0.11595900427331784,100
Salix other,9,6,8.14120144274413,0.1430244274905057,66.66666666666667
Ligusticum porteri,8,5,8.20068870666375,0.04448132170522712,62.5
S03,33,5,5.6440692457882475,0.22597990338037732,15.151515151515152
Artemisia tridentata,4,4,15.13217015740117,0.2473970398484271,100
Corydalis caseana,6,3,8.448868686027716,0.14769771883369698,50
Lonicera involucrata,3,3,9.854605493656639,0.2715402534590101,100
S15,4,3,7.175942551498119,0.6728538817342149,75
Salix boothii,3,3,9.753718467162603,0.06226239054819693,100
Caltha leptosepala,8,2,6.346850034320735,0.2589973719579932,25
Dasiphora fruticosa,1,1,13.222169583958923,0.3541084544687667,100
Ribes sp.,1,1,9.069758052332913,0.2574394477761537,100
Symphoricarpos rotundifolius,1,1,7.334780168664117,0.09897371317483739,100
