final_label,class_type,n_total,n_2018,n_2025,n_2026,n_2023,n_sampling_areas,n,unweighted_recall,balanced_recall,top_confusions,augmentation_priority,predicted_n_pixels,pixels_per_site
S16,meadow,1,1,0,0,0,NA,1,0,0,S14 (1),critical,2,2
Ligusticum porteri,meadow,15,10,2,0,3,NA,15,0,0,M02 (8); S03 (2),critical,7,0.4666666666666667
S02.b,meadow,9,2,3,0,4,NA,9,0,0,S02.a (7); M04 (1),critical,0,0
Lonicera involucrata,shrub,8,3,3,2,0,7,8,0,0,Salix other (3); Amelanchier alnifolia (1),critical,0,0
Osmorhiza occidentalis,meadow,8,5,0,0,3,NA,8,0,0,M02 (3); S06.b (3),critical,0,0
Caltha leptosepala,meadow,6,3,2,0,1,NA,6,0,0,S07 (2); S06.b (1),critical,0,0
Corydalis caseana,meadow,5,5,0,0,0,NA,5,0,0,S03 (2); S07 (2),critical,0,0
Purshia tridentata,shrub,4,0,4,0,0,2,4,0.75,0,Artemisia tridentata (2); Amelanchier alnifolia (1),critical,0,0
Prunus virginiana,shrub,3,0,3,0,0,1,3,0.6666666666666666,0.6666666666666666,Salix other (1),critical,0,0
S14,meadow,14,5,3,3,3,NA,14,0.6428571428571429,0.6428571428571429,Caltha leptosepala (1); S05.a (1),high,252,18
S24.b,meadow,9,0,0,9,0,NA,9,0.3333333333333333,0.2222222222222222,S24.a (6); S25 (1),high,96,10.666666666666666
M02,meadow,48,30,11,0,7,NA,48,0.3541666666666667,0.3541666666666667,S08.a (12); S06.b (9),high,206,4.291666666666667
S01.b,meadow,12,0,1,2,9,NA,12,0.08333333333333333,0.16666666666666666,S01.a (8); S02.a (1),high,24,2
S10.c,meadow,10,0,5,0,5,NA,10,0.1,0.2,S10.a (6); S06.b (1),high,18,1.8
Veratrum tenuipetalum,meadow,19,12,5,0,2,NA,19,0.3157894736842105,0.2631578947368421,S03 (8); M02 (2),high,27,1.4210526315789473
M04,meadow,16,0,2,0,14,NA,16,0.25,0.1875,S01.a (6); S02.a (5),high,18,1.125
S10.b,meadow,9,0,4,0,5,NA,9,0,0.1111111111111111,S10.a (6); S06.b (2),high,9,1
S26,meadow,7,0,0,6,1,NA,7,0.5714285714285714,0.7142857142857143,S10.b (1); S19 (1),high,7,1
S13.b,meadow,8,2,4,0,2,NA,8,0,0.125,M01 (5); S01.a (1),high,4,0.5
S17,meadow,7,0,6,1,0,NA,7,0.7142857142857143,0.7142857142857143,S04.b (1); S21 (1),high,2,0.2857142857142857
S04.a,meadow,13,3,7,0,3,NA,13,0.2307692307692308,0.2307692307692308,S04.b (4); M03 (3),high,1,0.07692307692307693
Symphoricarpos rotundifolius,shrub,11,7,4,0,0,4,11,0.2727272727272727,0.2727272727272727,Salix other (3); Dasiphora fruticosa (2),high,0,0
Alnus incana,shrub,9,1,3,5,0,3,9,0.6666666666666666,0.6666666666666666,Cornus sericea (1); Lonicera involucrata (1),high,0,0
Betula glandulosa,shrub,6,1,5,0,0,3,6,0.16666666666666666,0.3333333333333333,Salix wolfii (3); Salix planifolia (1),high,0,0
