Year,raw_binomial,canonical_binomial,note,n_records
2025,Acer glabrum,Acer glabrum,,2
2018,Alnus incana,Alnus incana,,1
2025,Alnus incana,Alnus incana,,3
2026,Alnus incana,Alnus incana,,5
2025,Amelanchier alnifolia,Amelanchier alnifolia,,12
2025,Artemisia cana,Artemisia cana,,2
2018,Artemisia tridentata,Artemisia tridentata,,3
2025,Artemisia tridentata,Artemisia tridentata,,11
2018,Betula glandulosa,Betula glandulosa,,1
2025,Betula glandulosa,Betula glandulosa,,5
2025,Cornus sericea,Cornus sericea,,1
2026,Cornus sericea,Cornus sericea,,5
2018,Pentaphylloides floribunda,Dasiphora fruticosa,Pentaphylloides is a junior synonym of Dasiphora,13
2025,Dasiphora fruticosa,Dasiphora fruticosa,,21
2025,Holodiscus discolor,Holodiscus discolor,,2
2018,Juniperus communis,Juniperus communis,,3
2025,Juniperus communis,Juniperus communis,,15
2025,Juniperus scopulorum,Juniperus scopulorum,,4
2018,Distegia involucrata,Lonicera involucrata,Distegia is a junior synonym of Lonicera,3
2025,Lonicera involucrata,Lonicera involucrata,,3
2026,Lonicera involucrata,Lonicera involucrata,,2
2025,Prunus virginiana,Prunus virginiana,,3
2025,Purshia tridentata,Purshia tridentata,,4
2025,Ribes cereum,Ribes cereum,,3
2025,Ribes inerme,Ribes inerme,,1
2018,Ribes montigenum,Ribes montigenum,,5
2025,Ribes montigenum,Ribes montigenum,,7
2025,Ribes wolfii,Ribes wolfii,,2
2018,Rubus idaeus,Rubus idaeus,,1
2025,Rubus idaeus,Rubus idaeus,,1
2018,Salix boothii,Salix boothii,,30
2025,Salix boothii,Salix boothii,,1
2018,Salix brachycarpa,Salix brachycarpa,,4
2018,Salix drummondiana,Salix drummondiana,,5
2025,Salix drummondiana,Salix drummondiana,,7
2018,Salix geyeriana,Salix geyeriana,,9
2018,Salix glauca,Salix glauca,,3
2025,Salix glauca,Salix glauca,,11
2025,Salix monticola,Salix monticola,,12
2018,Salix planifolia,Salix planifolia,,18
2025,Salix planifolia,Salix planifolia,,10
2025,Salix scouleriana,Salix scouleriana,,1
2018,Salix spp,Salix sp.,2018 generic Salix — no species epithet,4
2018,Salix wolfii,Salix wolfii,,23
2025,Salix wolfii,Salix wolfii,,26
2018,Sambucus microbotrys,Sambucus racemosa,S. microbotrys treated as S. racemosa ssp. microbotrys,7
2025,Sambucus racemosa,Sambucus racemosa,,12
2018,Sorbus scopulina,Sorbus scopulina,,1
2018,Symphoricarpos rotundifolius,Symphoricarpos rotundifolius,,7
2025,Symphoricarpos rotundifolius,Symphoricarpos rotundifolius,,4
