final_label,n,map_recall,split_basis,needs_ancillary,indicator_species
MD08,19,0.08333333333333333,floristic,TRUE,Erigeron_speciosus
MD14,12,0.08333333333333333,floristic,TRUE,Eriogonum_umbellatum
MD23,31,0.08333333333333333,floristic,TRUE,Artemisia_tridentata
MM10,19,0,floristic,TRUE,Artemisia_tridentata
MM16,9,0,floristic,TRUE,Lathyrus_lanszwertii
MM26,28,0,floristic,TRUE,Festuca_thurberi
MD04,22,0.058823529411764705,floristic,TRUE,Erigeron_speciosus
MD15,13,0.058823529411764705,floristic,TRUE,Festuca_thurberi
MD21,21,0.058823529411764705,floristic,TRUE,Lathyrus_lanszwertii
MD17,24,0.5294117647058824,mappable,FALSE,Eriogonum_umbellatum
SM28,83,0.24,floristic,TRUE,Lathyrus_lanszwertii
SM33,14,0.2,floristic,TRUE,Helianthella_quinquenervis
SM45,16,0.2,floristic,TRUE,Artemisia_tridentata
SM34,19,0.25,mappable,TRUE,Lathyrus_lanszwertii
MM12,9,0.1,floristic,TRUE,Erigeron_speciosus
MM20,26,0.1,floristic,TRUE,Lathyrus_lanszwertii
MM25,10,0.1,floristic,TRUE,Potentilla_pulcherrima
SM38,8,0.125,floristic,TRUE,Lupinus_argenteus
MD01,9,0.4444444444444444,mappable,FALSE,Artemisia_tridentata
MD02,18,0.4444444444444444,mappable,FALSE,Artemisia_tridentata
