x_utm,y_utm,snow_free_doy,doy_band,domain,tile
337781.5,4286869.5,111.02397918701172,early,ALMO,ALMO_2025_mosaic_rfl_337000_4286000.nc
352232.5,4290353.5,114.00759887695312,early,ALMO,ALMO_2025_mosaic_rfl_352000_4290000.nc
338565.5,4285509.5,98.14420318603516,early,ALMO,ALMO_2025_mosaic_rfl_338000_4285000.nc
335973.5,4307062.5,108.09043884277344,early,CRBU,CRBU_2025_mosaic_rfl_335000_4307000.nc
344553.5,4280329.5,114.68988800048828,early,ALMO,ALMO_2025_mosaic_rfl_344000_4280000.nc
334448.5,4306314.5,125.41463470458984,early,CRBU,CRBU_2025_mosaic_rfl_334000_4306000.nc
324922.5,4304239.5,123.47557830810547,early,CRBU,CRBU_2025_mosaic_rfl_324000_4304000.nc
346388.5,4283818.5,94.17155456542969,early,ALMO,ALMO_2025_mosaic_rfl_346000_4283000.nc
345367.5,4285647.5,103.57159423828125,early,ALMO,ALMO_2025_mosaic_rfl_345000_4285000.nc
359259.5,4313392.5,125.53933715820312,early,UPTA,UPTA_2025_mosaic_rfl_359000_4313000.nc
334805.5,4304119.5,120.27764129638672,early,CRBU,CRBU_2025_mosaic_rfl_334000_4304000.nc
338772.5,4280203.5,90.21385192871094,early,ALMO,ALMO_2025_mosaic_rfl_338000_4280000.nc
350724.5,4283149.5,120.7688980102539,early,ALMO,ALMO_2025_mosaic_rfl_350000_4283000.nc
339307.5,4286068.5,89.68653869628906,early,ALMO,ALMO_2025_mosaic_rfl_339000_4286000.nc
327262.5,4305596.5,126.97976684570312,early,CRBU,CRBU_2025_mosaic_rfl_327000_4305000.nc
357697.5,4313746.5,127.46373748779297,early,UPTA,UPTA_2025_mosaic_rfl_357000_4313000.nc
341826.5,4285635.5,95.91986083984375,early,ALMO,ALMO_2025_mosaic_rfl_341000_4285000.nc
356322.5,4314239.5,128.1222381591797,early,UPTA,UPTA_2025_mosaic_rfl_356000_4314000.nc
326541.5,4306953.5,129.4523468017578,early,CRBU,CRBU_2025_mosaic_rfl_326000_4306000.nc
342505.5,4287761.5,102.39379119873047,early,ALMO,ALMO_2025_mosaic_rfl_342000_4287000.nc
337649.5,4290716.5,104.86412811279297,early,ALMO,ALMO_2025_mosaic_rfl_337000_4290000.nc
342631.5,4286575.5,117.02545166015625,early,ALMO,ALMO_2025_mosaic_rfl_342000_4286000.nc
338949.5,4282488.5,90.60356903076172,early,ALMO,ALMO_2025_mosaic_rfl_338000_4282000.nc
