final_label,moisture,elevation
Alnus incana,wet,montane
Amelanchier alnifolia,mesic,montane
Artemisia tridentata,dry,montane
Betula glandulosa,mesic,subalpine
Caltha leptosepala,wet,subalpine
Cornus sericea,wet,montane
Corydalis caseana,wet,subalpine
Dasiphora fruticosa,mesic,subalpine
Juniperus sp.,dry,montane
Ligusticum porteri,wet,subalpine
Lonicera involucrata,mesic,subalpine
M01,mesic,subalpine
M02,mesic,subalpine
M03,dry,montane
M04,dry,montane
Osmorhiza occidentalis,mesic,subalpine
Prunus virginiana,mesic,montane
Purshia tridentata,dry,montane
Ribes sp.,dry,subalpine
S01.a,dry,montane
S01.b,dry,montane
S02.a,mesic,montane
S02.b,mesic,montane
S03,wet,subalpine
S04.a,dry,montane
S04.b,dry,montane
S05.a,dry,montane
S06.b,mesic,subalpine
S07,wet,alpine
S08.a,mesic,subalpine
S09.a,mesic,subalpine
S10.a,mesic,montane
S10.b,mesic,montane
S10.c,mesic,montane
S11,mesic,montane
S12,dry,subalpine
S13.b,mesic,subalpine
S14,wet,alpine
S15,wet,subalpine
S17,dry,montane
S18,dry,montane
S19,dry,montane
S20,dry,montane
S21,mesic,subalpine
S22,dry,montane
S23,mesic,subalpine
S24.a,dry,montane
S24.b,dry,montane
S25,dry,montane
S26,mesic,montane
Salix boothii,wet,subalpine
Salix other,wet,subalpine
Salix planifolia,wet,subalpine
Salix wolfii,wet,subalpine
Sambucus racemosa,mesic,subalpine
Symphoricarpos rotundifolius,mesic,montane
Veratrum tenuipetalum,wet,subalpine
