final_label,internal_label,short_label,draft_community,draft_element_id,draft_grank,draft_score,decision,curated_community,curated_element_id,curated_grank,notes
MD01,S24.b,Dense sagebrush-aspen edge,Artemisia tridentata ssp. wyomingensis - Artemisia tridentata ssp. tridentata Desert Shrubland Group,837809,G4,0.57,,,,,
MD02,S24.a,Bitterbrush-cactus steppe,Pseudoroegneria spicata - Poa secunda Dry Grassland Alliance,900038,GNR,0.57,,,,,
MD03,S25,Low mixed shrub-steppe,Purshia tridentata - Ribes cereum Shrubland Alliance,899783,GNR,0.73,,,,,
MD04,S04.b.e,Kinnikinnick-bitterbrush steppe,Dryas integrifolia - Dryas octopetala - Arctostaphylos uva-ursi Rocky Mountain Fell-field Dwarf-shrubland Alliance,899303,GNR,0.49,,,,,
MD05,S18,Low sagebrush-rabbitbrush steppe,Chrysothamnus viscidiflorus - Ericameria nauseosa - Krascheninnikovia lanata Steppe Group,837419,G4,0.73,,,,,
MD06,S17,Shale barren shrub-steppe,Artemisia tridentata ssp. vaseyana / Balsamorhiza sagittata Shrubland,686099,GNR,0.35,,,,,
MM07,S26,Chokecherry tall shrub,Quercus gambelii - Amelanchier spp. - Prunus virginiana Southern Rocky Mountain Montane Shrubland Group,836936,G4,0.63,,,,,
MD08,S01.a.e,Early snowberry shrub-steppe,Chrysothamnus viscidiflorus Shrub Grassland,769588,GNR,0.63,,,,,
MD09,S19.e,Early snowberry dry park,Achnatherum hymenoides Shale Barren Grassland,685387,G2,0.55,,,,,
MM10,S02.a.e,Early Wyethia meadow,,,,,,,,,no CO-recorded candidate (see review checklist)
MD11,M04,Lupine meadow,Elymus lanceolatus - Lupinus argenteus Grassland,947959,GNR,0.78,,,,,
MM12,S10.b,Fleabane-horsemint meadow,Elymus lanceolatus - Lupinus argenteus Grassland,947959,GNR,0.09,,,,,
MD13,M03,Sagebrush-fescue shrubland,Artemisia tridentata ssp. vaseyana / Festuca thurberi Shrubland,685656,G3,1.01,,,,,
MD14,S01.b,Buckwheat dry meadow,Amelanchier alnifolia - Symphoricarpos spp. - Rhus glabra Central Rocky Mountain Shrubland Group,836901,G4,0.28,,,,,
MD15,S04.a,Thurber fescue grassland,Festuca thurberi Subalpine Grassland,688145,G3,1.04,,,,,
MM16,S02.b,Lathyrus meadow,"Festuca thurberi - (Lathyrus lanszwertii, Potentilla spp.) Grassland",683986,G4,0.61,,,,,
MD17,S05.a,Silver-sage sedge park,Artemisia cana Montane Wet Shrubland Alliance,1283076,GNR,0.65,,,,,
MD18,S22,Senescent sagebrush park,Artemisia tridentata ssp. wyomingensis - Artemisia tridentata ssp. tridentata Desert Shrubland Group,837809,G4,0.99,,,,,
MM19,S11,Wyethia swale meadow,,,,,,,,,no CO-recorded candidate (see review checklist)
MM20,S10.a,Snowberry mesic meadow,Carex ebenea - Trifolium parryi Alpine Snowbed,687634,GU,0.35,,,,,
MD21,S04.b.l,Lathyrus-buckwheat meadow,"Festuca thurberi - (Lathyrus lanszwertii, Potentilla spp.) Grassland",683986,G4,0.57,,,,,
MD22,S19.l,Oxytropis grass park,Sporobolus cryptandrus - Artemisia campestris Wet Meadow Alliance,899649,GNR,0.22,,,,,
MD23,S01.a.l,Montane shrub-meadow,,,,,,,,,no CO-recorded candidate (see review checklist)
MD24,S20,Rocky buckwheat barren,Poa nervosa - Achnatherum lettermanii Grassland,683772,G1,0.3,,,,,
MM25,S10.c,Cinquefoil-paintbrush meadow,Ligusticum porteri - Vicia americana Meadow,687003,G3,0.3,,,,,
MM26,S02.a.l,Fescue tall-forb meadow,Artemisia tridentata ssp. vaseyana / Festuca thurberi Shrubland,685656,G3,0.46,,,,,
SM27,Osmorhiza occidentalis,Sweet-cicely stand,,,,,,,,,no CO-recorded candidate (see review checklist)
SM28,S06.b,Subalpine mixed meadow,"Festuca thurberi - (Lathyrus lanszwertii, Potentilla spp.) Grassland",683986,G4,0.19,,,,,
SW29,Veratrum tenuipetalum,Corn-lily meadow,Heracleum maximum - Veratrum viride Wet Meadow Alliance,1225209,GNR,0.81,,,,,
SM30,S23,Subalpine forb turf,Salix wolfii / Mesic Forbs Wet Shrubland,684020,G3,0.33,,,,,
SW31,Ligusticum porteri,Osha tall-forb stand,Ligusticum porteri - Vicia americana Meadow,687003,G3,0.65,,,,,
SW32,S15,Wet sedge meadow,Salix wolfii / Carex aquatilis Wet Shrubland,689451,G4,0.76,,,,,
SM33,S08.a.e,Helianthella subalpine meadow,Festuca idahoensis - Festuca thurberi Grassland,688463,G3,0.39,,,,,
SM34,S09.a,Lathyrus mesic meadow,Carex microptera Wet Meadow,686153,G4,0.26,,,,,
SM35,M02,Osha tall-forb meadow,Ligusticum porteri - Vicia americana Meadow,687003,G3,0.73,,,,,
SW36,S03,Tall-forb wet meadow,Heracleum maximum - Veratrum viride Wet Meadow Alliance,1225209,GNR,0.87,,,,,
SW37,Corydalis caseana,Fitweed seep stand,Heracleum maximum - Veratrum viride Wet Meadow Alliance,1225209,GNR,0.15,,,,,
SM38,S13.b,Lupine-bilberry slope,Salix wolfii / Calamagrostis canadensis Wet Shrubland,738631,G3,0.47,,,,,
SW39,Caltha leptosepala,Marsh-marigold snowbed,Caltha leptosepala - Rhodiola rhodantha Wet Meadow,688961,GNR,1.08,,,,,
SM40,M01,Bilberry heath,"Vaccinium (cespitosum, scoparium) Dwarf-shrubland",688285,G4,0.62,,,,,
SM41,S21,Brome disturbed meadow,Bromus inermis - (Pascopyrum smithii) Ruderal Grassland,684068,GNA,0.25,,,,,
SD42,S12,Rocky sparse forb slope,Geum rossii - Sibbaldia procumbens Alpine Snowbed,683954,GU,0.3,,,,,
AW43,S14,Alpine wet graminoid turf,Calamagrostis stricta Wet Meadow,689176,GU,0.38,,,,,
AW44,S07,Alpine snowbed forb turf,Caltha leptosepala Wet Meadow,688252,G4,0.57,,,,,
SM45,S08.a.l,Late Deschampsia meadow,Salix wolfii / Deschampsia cespitosa Wet Shrubland,687741,G3,0.59,,,,,
