band_number,wavelength_nm,delta,sd_diff,n_pairs
1,384,-5.122405817426244e-4,0.008422309960305838,1057
2,389,-5.122405817426244e-4,0.008422309960305838,1057
3,394,-5.122405817426244e-4,0.008422309960305838,1057
4,399,-5.122405817426244e-4,0.008422309960305838,1057
5,404,-0.002785087391177026,0.012073528213202714,1057
6,409,-0.0036834775576933838,0.012372230034621986,1057
7,414,-0.0044154049160970805,0.012714814129870392,1057
8,419,-0.004871678509161853,0.013212309619191821,1057
9,424,-0.005084835984178543,0.013673552775549404,1057
10,429,-0.005296837518369827,0.014143767262084682,1057
11,434,-0.005379803519215313,0.014623444673626286,1057
12,439,-0.005158569895043439,0.0149115344722287,1057
13,444,-0.004988656469120431,0.015101923113967282,1057
14,449,-0.004926485926223364,0.015067045809500829,1057
15,454,-0.004790138974708928,0.015174994973851963,1057
16,459,-0.004662745992206111,0.01519561928133222,1057
17,464,-0.004595097044115515,0.015209298895268905,1057
18,469,-0.004639062310190323,0.015223166985748588,1057
19,474,-0.004748001292359065,0.01522082969879992,1057
20,479,-0.004777174247556719,0.015240771890659203,1057
21,484,-0.004757782675028947,0.015158633648375427,1057
22,489,-0.005030827869597578,0.015217249162441807,1057
23,494,-0.005108201990419116,0.015140865115638499,1057
24,499,-0.005055583096128574,0.015034119843259608,1057
25,504,-0.005126624371282166,0.014961056443148093,1057
26,509,-0.005151284981695703,0.014856047518431836,1057
27,514,-0.005087877886984786,0.014803639124433879,1057
28,519,-0.005087583305125854,0.014734449196270157,1057
29,524,-0.0049889696140300544,0.014645150035078056,1057
30,529,-0.004977303948017784,0.014510795822865236,1057
31,534,-0.004807884486991308,0.014482994539561625,1057
32,539,-0.004686473464170959,0.01442705209752182,1057
33,544,-0.004656027166671465,0.014371871394680082,1057
34,549,-0.0044501344348700355,0.014325221298682949,1057
35,554,-0.004330184126138481,0.014360689484138416,1057
36,559,-0.004246972883124938,0.01430120764266519,1057
37,564,-0.004234163436135366,0.014361294536846113,1057
38,569,-0.00409124601888163,0.014330978799237287,1057
39,574,-0.004012269127230529,0.014330075373408512,1057
40,579,-0.003966300322226168,0.014341512472357936,1057
41,584,-0.0038659696757046445,0.014276104671564373,1057
42,589,-0.003764856363758809,0.01424169354712049,1057
43,594,-0.0037771752131995863,0.014131038024510252,1057
44,599,-0.003768304512621635,0.01408205047149888,1057
45,604,-0.0037571382703680293,0.01398385387191645,1057
46,609,-0.00375596367896065,0.013981027731592679,1057
47,614,-0.0038012504735631743,0.01394123464654264,1057
48,619,-0.0038002158653529265,0.013875766806951255,1057
49,624,-0.0038298394073634856,0.01384544638908681,1057
50,629,-0.003838943556598668,0.013828709478800195,1057
51,634,-0.0038706161758789246,0.013803362135875748,1057
52,639,-0.003889810005744232,0.013715354643776151,1057
53,644,-0.003881293610224098,0.01374801065898386,1057
54,649,-0.003918943126659272,0.013635593024995285,1057
55,654,-0.003874603976987884,0.013614012675629231,1057
56,659,-0.004152008131359288,0.013599393370292161,1057
57,664,-0.004164528696423649,0.013499723981029303,1057
58,669,-0.004535881448847366,0.01363352211314285,1057
59,674,-0.004285854817059513,0.01431092722836916,1057
60,679,-0.004288516140663289,0.013484935556448993,1057
61,684,-0.004150266374385177,0.013683362687962662,1057
62,689,-0.004289727866919454,0.013362990917084925,1057
63,694,-0.004159669673742657,0.01318326420424368,1057
